medium	description	compound	name
M9[cfree]	M9[cfree]	ca2	Ca2+
M9[cfree]	M9[cfree]	cl	Cl-
M9[cfree]	M9[cfree]	cobalt2	Co2+
M9[cfree]	M9[cfree]	cu2	Cu2+
M9[cfree]	M9[cfree]	fe2	Fe2+
M9[cfree]	M9[cfree]	fe3	Fe3+
M9[cfree]	M9[cfree]	h2o	H2O
M9[cfree]	M9[cfree]	h	H+
M9[cfree]	M9[cfree]	k	K+
M9[cfree]	M9[cfree]	mg2	Mg
M9[cfree]	M9[cfree]	mn2	Mn2+
M9[cfree]	M9[cfree]	mobd	Molybdate
M9[cfree]	M9[cfree]	na1	Na+
M9[cfree]	M9[cfree]	nh4	Ammonium
M9[cfree]	M9[cfree]	ni2	Ni2+
M9[cfree]	M9[cfree]	o2	O2
M9[cfree]	M9[cfree]	pi	Phosphate
M9[cfree]	M9[cfree]	so4	Sulfate
M9[cfree]	M9[cfree]	zn2	Zn2+
M9[succ]	M9[succ]	ca2	Ca2+
M9[succ]	M9[succ]	cl	Cl-
M9[succ]	M9[succ]	cobalt2	Co2+
M9[succ]	M9[succ]	cu2	Cu2+
M9[succ]	M9[succ]	fe2	Fe2+
M9[succ]	M9[succ]	fe3	Fe3+
M9[succ]	M9[succ]	h2o	H2O
M9[succ]	M9[succ]	h	H+
M9[succ]	M9[succ]	k	K+
M9[succ]	M9[succ]	mg2	Mg
M9[succ]	M9[succ]	mn2	Mn2+
M9[succ]	M9[succ]	mobd	Molybdate
M9[succ]	M9[succ]	na1	Na+
M9[succ]	M9[succ]	nh4	Ammonium
M9[succ]	M9[succ]	ni2	Ni2+
M9[succ]	M9[succ]	o2	O2
M9[succ]	M9[succ]	pi	Phosphate
M9[succ]	M9[succ]	so4	Sulfate
M9[succ]	M9[succ]	zn2	Zn2+
M9[succ]	M9[succ]	succ	Succinate
M9[glc__D]	M9[glc__D]	ca2	Ca2+
M9[glc__D]	M9[glc__D]	cl	Cl-
M9[glc__D]	M9[glc__D]	cobalt2	Co2+
M9[glc__D]	M9[glc__D]	cu2	Cu2+
M9[glc__D]	M9[glc__D]	fe2	Fe2+
M9[glc__D]	M9[glc__D]	fe3	Fe3+
M9[glc__D]	M9[glc__D]	h2o	H2O
M9[glc__D]	M9[glc__D]	h	H+
M9[glc__D]	M9[glc__D]	k	K+
M9[glc__D]	M9[glc__D]	mg2	Mg
M9[glc__D]	M9[glc__D]	mn2	Mn2+
M9[glc__D]	M9[glc__D]	mobd	Molybdate
M9[glc__D]	M9[glc__D]	na1	Na+
